episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes
manual_arc_20260708_024944,93,13.600001,1783475385.018423,1.650963,-0.000507,0.0,-0.000183,0.3,0.0,0.299842,5e-06,camera_link,13.600001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,94,13.616667,1783475385.019715,1.655954,-0.000508,-0.0,-0.000182,0.3,0.0,0.299842,5e-06,camera_link,13.616667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,95,13.633334,1783475385.020906,1.660945,-0.000509,-0.0,-0.000183,0.3,0.0,0.299842,5e-06,camera_link,13.633334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,96,13.650001,1783475385.026981,1.665937,-0.00051,-0.0,-0.000182,0.3,0.0,0.299834,-0.000315,camera_link,13.650001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,97,13.666667,1783475385.029313,1.670928,-0.000511,0.0,-0.000182,0.3,0.0,0.299834,-0.000315,camera_link,13.666667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,98,13.683334,1783475385.031702,1.675919,-0.000512,-0.0,-0.000182,0.3,0.0,0.299834,-0.000315,camera_link,13.683334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,99,13.700001,1783475385.041971,1.680911,-0.000513,-0.0,-0.000182,0.3,0.0,0.299848,0.000507,camera_link,13.700001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,100,13.716667,1783475385.043895,1.685902,-0.000514,0.0,-0.000182,0.3,0.0,0.299848,0.000507,camera_link,13.716667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,101,13.733334,1783475385.045506,1.690894,-0.000514,1e-06,-0.000178,0.3,0.0,0.299848,0.000507,camera_link,13.733334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,102,13.750001,1783475385.058844,1.695887,-0.000515,0.0,-0.000175,0.3,0.0,0.299594,-0.002384,camera_link,13.750001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,103,13.766667,1783475385.063417,1.700879,-0.000516,-0.0,-0.000175,0.3,0.0,0.299594,-0.002384,camera_link,13.766667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,104,13.783334,1783475385.06882,1.705871,-0.000517,0.0,-0.000175,0.3,0.0,0.299594,-0.002384,camera_link,13.783334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,105,13.800001,1783475385.085223,1.710863,-0.000518,0.0,-0.000175,0.3,0.0,0.299811,0.000134,camera_link,13.800001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,106,13.816667,1783475385.08842,1.715854,-0.000518,-0.0,-0.000175,0.3,0.0,0.299811,0.000134,camera_link,13.816667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,107,13.833334,1783475385.090696,1.720845,-0.000519,1e-06,-0.000174,0.3,0.0,0.299811,0.000134,camera_link,13.833334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,108,13.850001,1783475385.09937,1.725837,-0.00052,0.0,-0.000174,0.3,0.0,0.299837,-0.000528,camera_link,13.850001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,109,13.866667,1783475385.101722,1.730829,-0.000521,0.0,-0.000173,0.3,0.0,0.299837,-0.000528,camera_link,13.866667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,110,13.883334,1783475385.103087,1.735821,-0.000522,0.0,-0.000173,0.3,0.0,0.299837,-0.000528,camera_link,13.883334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,111,13.900001,1783475385.109354,1.740812,-0.000523,1e-06,-0.000176,0.3,0.0,0.299403,0.001534,camera_link,13.900001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,112,13.916667,1783475385.110797,1.745802,-0.000524,-0.0,-0.000176,0.3,0.0,0.299403,0.001534,camera_link,13.916667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,113,13.933334,1783475385.112088,1.750794,-0.000525,0.0,-0.000177,0.3,0.0,0.299403,0.001534,camera_link,13.933334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,114,13.950001,1783475385.11813,1.755785,-0.000526,-0.0,-0.000177,0.3,0.0,0.299854,3.4e-05,camera_link,13.950001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,115,13.966667,1783475385.119587,1.760776,-0.000527,0.0,-0.000177,0.3,0.0,0.299854,3.4e-05,camera_link,13.966667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,116,13.983334,1783475385.120811,1.765768,-0.000527,0.0,-0.000177,0.3,0.0,0.299854,3.4e-05,camera_link,13.983334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,117,14.000001,1783475385.127472,1.770759,-0.000528,0.0,-0.000177,0.3,0.0,0.299858,0.0,camera_link,14.000001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,118,14.016667,1783475385.128942,1.775751,-0.000529,0.0,-0.000177,0.3,0.0,0.299858,0.0,camera_link,14.016667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,119,14.033334,1783475385.130356,1.780741,-0.00053,-0.0,-0.000177,0.3,0.0,0.299858,0.0,camera_link,14.033334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,120,14.050001,1783475385.138205,1.785733,-0.000531,2e-06,-0.000182,0.3,0.0,0.299268,0.00226,camera_link,14.050001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,121,14.066667,1783475385.139671,1.790722,-0.000532,0.0,-0.000182,0.3,0.0,0.299268,0.00226,camera_link,14.066667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,122,14.083334,1783475385.140919,1.795713,-0.000533,0.0,-0.000182,0.3,0.0,0.299268,0.00226,camera_link,14.083334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,123,14.100001,1783475385.148116,1.800704,-0.000534,0.0,-0.000181,0.3,0.0,0.299839,1.6e-05,camera_link,14.100001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,124,14.116667,1783475385.14971,1.805696,-0.000535,0.0,-0.000181,0.3,0.0,0.299839,1.6e-05,camera_link,14.116667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,125,14.133334,1783475385.151091,1.810687,-0.000536,0.0,-0.000182,0.3,0.0,0.299839,1.6e-05,camera_link,14.133334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,126,14.150001,1783475385.160185,1.815678,-0.000537,0.0,-0.000182,0.3,0.0,0.299854,0.000268,camera_link,14.150001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,127,14.166667,1783475385.16165,1.82067,-0.000538,0.0,-0.000182,0.3,0.0,0.299854,0.000268,camera_link,14.166667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,128,14.183334,1783475385.162927,1.825662,-0.000538,-0.0,-0.000183,0.3,0.0,0.299854,0.000268,camera_link,14.183334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,129,14.200001,1783475385.169681,1.830653,-0.000539,0.0,-0.000183,0.3,0.0,0.299846,-5e-06,camera_link,14.200001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,130,14.216667,1783475385.171658,1.835644,-0.00054,0.0,-0.000183,0.3,0.0,0.299846,-5e-06,camera_link,14.216667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,131,14.233334,1783475385.172864,1.840635,-0.000541,0.0,-0.000183,0.3,0.0,0.299846,-5e-06,camera_link,14.233334,manual_cmd_vel,,nominal,
