metric,view_i,split_i,view_j,split_j,pair_class,similarity
ssim,h8m_recep_desk_multiobj__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.2912
dino_cosine,h8m_side_corridor__goalA,val,h8m_side_corridor__goalB,val,within_zone,0.4077
ahash,h8m_side_corridor__goalA,val,h8m_side_corridor__goalB,val,within_zone,0.4922
ssim,h8m_side_corridor__goalA,val,h8m_side_corridor__goalB,val,within_zone,0.6088
dino_cosine,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalA,train,cross_split,0.2907
ahash,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalA,train,cross_split,0.3359
ssim,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalA,train,cross_split,0.5306
dino_cosine,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalB,train,cross_split,0.2675
ahash,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalB,train,cross_split,0.2539
ssim,h8m_side_corridor__goalA,val,h8m_waiting_seating__goalB,train,cross_split,0.5359
dino_cosine,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.3159
ahash,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.3672
ssim,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.5066
dino_cosine,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.2633
ahash,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3867
ssim,h8m_side_corridor__goalA,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.5094
dino_cosine,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalA,val,within_split,0.2676
ahash,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalA,val,within_split,0.4141
ssim,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalA,val,within_split,0.5405
dino_cosine,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalB,val,within_split,0.2995
ahash,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalB,val,within_split,0.4297
ssim,h8m_side_corridor__goalA,val,h8m_east_vending_nearfar__goalB,val,within_split,0.5518
dino_cosine,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.1858
ahash,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.3008
ssim,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4163
dino_cosine,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4107
